cross_track_error,reached_goal,collision,reward,timesteps,duration,progress,pathlength
0.0,0.0,1.0,-1230.6248248662403,24.0,24.0,0.6878,0.0
0.0,0.0,1.0,-1135.5367847079074,15.0,15.0,0.6518,0.0
0.0,0.0,1.0,-1134.5288536559917,16.0,16.0,0.6212,0.0
0.0,0.0,1.0,-1511.0101633205645,70.0,70.0,0.702,0.0
0.0,0.0,1.0,-1261.0890014030174,28.0,28.0,0.5585,0.0
0.0,0.0,1.0,-2402.6103327875367,228.0,228.0,0.8893,0.0
0.0,0.0,1.0,-1072.075309106085,8.0,8.0,0.6406,0.0
0.0,0.0,1.0,-1081.913860752296,10.0,10.0,0.7005,0.0
0.0,0.0,1.0,-1144.4560119932355,16.0,16.0,0.6963,0.0
0.0,0.0,1.0,-1162.218808489999,22.0,22.0,0.7443,0.0
0.0,0.0,0.0,-2000.6488119952649,335.0,335.0,0.7893,0.0
0.0,0.0,0.0,-2001.5485727136315,333.0,333.0,0.7698,0.0
0.0,0.0,1.0,-1137.768234995164,16.0,16.0,0.6879,0.0
0.0,0.0,1.0,-1210.877645322764,29.0,29.0,0.6401,0.0
0.0,0.0,1.0,-1817.0081429878578,135.0,135.0,0.7851,0.0
0.0,0.0,1.0,-1086.406455401423,10.0,10.0,0.6777,0.0
0.0,0.0,1.0,-1668.28314501857,115.0,115.0,0.7384,0.0
0.0,0.0,1.0,-2891.5289662235737,314.0,314.0,0.7646,0.0
0.0,0.0,1.0,-1619.2752825338475,103.0,103.0,0.799,0.0
0.0,0.0,1.0,-2256.102579565784,213.0,213.0,0.8285,0.0
0.0,0.0,1.0,-1178.5982079751525,18.0,18.0,0.5252,0.0
0.0,0.0,0.0,-2000.855663103378,342.0,342.0,0.6261,0.0
0.0,0.0,1.0,-1150.3697614481066,16.0,16.0,0.6457,0.0
0.0,0.0,1.0,-1131.949857347724,14.0,14.0,0.6567,0.0
0.0,0.0,1.0,-1384.3451455119414,35.0,35.0,0.6283,0.0
0.0,0.0,1.0,-2958.805706188193,333.0,333.0,0.7124,0.0
0.0,0.0,0.0,-2003.8107665095283,355.0,355.0,0.696,0.0
0.0,0.0,1.0,-1702.8728515307962,104.0,104.0,0.7434,0.0
0.0,0.0,0.0,-2006.3175226450842,338.0,338.0,0.5977,0.0
0.0,0.0,1.0,-1299.812369110462,34.0,34.0,0.637,0.0
0.0,0.0,0.0,-2005.777032993471,339.0,339.0,0.6689,0.0
0.0,0.0,1.0,-1184.5940341551964,19.0,19.0,0.5971,0.0
0.0,0.0,1.0,-2270.2351076366836,209.0,209.0,0.7136,0.0
0.0,0.0,1.0,-1200.3573596658111,23.0,23.0,0.659,0.0
0.0,0.0,1.0,-2778.2698182837494,300.0,300.0,0.7151,0.0
0.0,0.0,1.0,-2401.6355011164587,232.0,232.0,0.6527,0.0
0.0,0.0,1.0,-2519.5991360640787,265.0,265.0,0.9356,0.0
0.0,0.0,1.0,-1098.6601243853645,10.0,10.0,0.637,0.0
0.0,0.0,1.0,-1181.31296473317,21.0,21.0,0.678,0.0
0.0,0.0,1.0,-1259.6084472621947,30.0,30.0,0.5976,0.0
0.0,0.0,1.0,-1099.524926815346,11.0,11.0,0.7973,0.0
0.0,0.0,1.0,-1069.2699404489658,8.0,8.0,0.706,0.0
0.0,0.0,0.0,-2003.6508911005092,330.0,330.0,0.645,0.0
0.0,0.0,1.0,-1127.9810280467343,13.0,13.0,0.5314,0.0
0.0,0.0,1.0,-1154.1248165089346,15.0,15.0,0.5128,0.0
0.0,0.0,1.0,-1091.0960614699407,10.0,10.0,0.7108,0.0
0.0,0.0,1.0,-1209.861996776926,24.0,24.0,0.694,0.0
0.0,0.0,1.0,-2137.31671368962,183.0,183.0,0.7518,0.0
0.0,0.0,1.0,-1168.048962950593,20.0,20.0,0.624,0.0
0.0,0.0,1.0,-1215.2934197732277,29.0,29.0,0.7589,0.0
0.0,0.0,1.0,-1861.807299526471,146.0,146.0,0.7168,0.0
0.0,0.0,0.0,-2006.5827475964463,325.0,325.0,0.589,0.0
0.0,0.0,1.0,-1119.6053864831927,12.0,12.0,0.6426,0.0
0.0,0.0,0.0,-2003.1057427683843,336.0,336.0,0.6426,0.0
0.0,0.0,1.0,-1194.4004824807234,20.0,20.0,0.6852,0.0
0.0,0.0,1.0,-1124.9616115761903,14.0,14.0,0.7809,0.0
0.0,0.0,1.0,-2197.019984239686,197.0,197.0,0.7989,0.0
0.0,0.0,1.0,-2335.58066186789,213.0,213.0,0.6525,0.0
0.0,0.0,1.0,-2769.9241089655475,302.0,302.0,0.8309,0.0
0.0,0.0,1.0,-2883.7482087748854,322.0,322.0,0.7691,0.0
0.0,0.0,1.0,-1253.1943143511098,27.0,27.0,0.6018,0.0
0.0,0.0,1.0,-1114.8211313668678,12.0,12.0,0.8214,0.0
0.0,0.0,1.0,-1338.0029424202626,36.0,36.0,0.6098,0.0
0.0,0.0,0.0,-2003.2323378059164,346.0,346.0,0.6107,0.0
0.0,0.0,1.0,-1180.0549571046874,19.0,19.0,0.5121,0.0
0.0,0.0,1.0,-1278.6593124639826,32.0,32.0,0.6124,0.0
0.0,0.0,1.0,-1110.4055657677252,12.0,12.0,0.6882,0.0
0.0,0.0,1.0,-2987.927207071947,337.0,337.0,0.702,0.0
0.0,0.0,1.0,-2367.815014544144,235.0,235.0,0.6674,0.0
0.0,0.0,1.0,-1376.7488715675636,55.0,55.0,0.6935,0.0
0.0,0.0,1.0,-1132.9437875267183,15.0,15.0,0.6624,0.0
0.0,0.0,1.0,-2315.696023075487,220.0,220.0,0.9037,0.0
0.0,0.0,1.0,-1144.8967434699607,18.0,18.0,0.6506,0.0
0.0,0.0,1.0,-1131.21781934315,14.0,14.0,0.6007,0.0
0.0,0.0,1.0,-2112.34200865451,185.0,185.0,0.7159,0.0
0.0,0.0,1.0,-1103.0076648354384,11.0,11.0,0.613,0.0
0.0,0.0,1.0,-2381.920870734649,228.0,228.0,0.7529,0.0
0.0,0.0,1.0,-1201.7952514868348,28.0,28.0,0.7433,0.0
0.0,0.0,1.0,-1334.9726605929377,51.0,51.0,0.8284,0.0
0.0,0.0,1.0,-1239.521722053081,25.0,25.0,0.537,0.0
0.0,0.0,0.0,-2003.6051742715697,317.0,317.0,0.7551,0.0
0.0,0.0,1.0,-1404.386068343145,57.0,57.0,0.7511,0.0
0.0,0.0,1.0,-1147.025215606463,20.0,20.0,0.7005,0.0
0.0,0.0,1.0,-1164.8383139699317,16.0,16.0,0.4372,0.0
0.0,0.0,1.0,-1096.7823059781952,11.0,11.0,0.5985,0.0
0.0,0.0,1.0,-1292.8130010223263,55.0,55.0,0.8482,0.0
0.0,0.0,1.0,-1833.3920159381137,137.0,137.0,0.7946,0.0
0.0,0.0,0.0,-2005.087519700173,339.0,339.0,0.6812,0.0
0.0,0.0,1.0,-1242.7090408025595,23.0,23.0,0.4302,0.0
0.0,0.0,1.0,-1311.0985665945232,42.0,42.0,0.7721,0.0
0.0,0.0,1.0,-1306.8479076971348,45.0,45.0,0.8089,0.0
0.0,0.0,0.0,-2003.1382779852913,337.0,337.0,0.6573,0.0
0.0,0.0,1.0,-1197.4873371294982,29.0,29.0,0.8405,0.0
0.0,0.0,1.0,-2582.0970441843447,271.0,271.0,0.8288,0.0
0.0,0.0,1.0,-1144.8650769625062,17.0,17.0,0.6701,0.0
0.0,0.0,1.0,-1153.220559413595,19.0,19.0,0.7043,0.0
0.0,0.0,1.0,-1190.7802454955645,21.0,21.0,0.6496,0.0
0.0,0.0,1.0,-1747.3269334259503,110.0,110.0,0.6697,0.0
0.0,0.0,0.0,-2000.1544916436576,332.0,332.0,0.7022,0.0
0.0,0.0,1.0,-1960.3723765168704,159.0,159.0,0.7964,0.0
0.0,0.0,1.0,-1661.982738363305,108.0,108.0,0.7603,0.0
0.0,0.0,1.0,-2700.6389941061752,288.0,288.0,0.7315,0.0
0.0,0.0,1.0,-2237.3013075970707,209.0,209.0,0.7269,0.0
0.0,0.0,1.0,-1525.0908466383166,84.0,84.0,0.7686,0.0
0.0,0.0,1.0,-1149.0340233139623,16.0,16.0,0.6297,0.0
0.0,0.0,1.0,-1112.742163508922,15.0,15.0,0.7765,0.0
0.0,0.0,1.0,-1309.5715660828914,48.0,48.0,0.6605,0.0
0.0,0.0,1.0,-1156.3970799940737,18.0,18.0,0.6455,0.0
0.0,0.0,1.0,-2836.687294146096,317.0,317.0,0.7069,0.0
0.0,0.0,1.0,-1158.0538976601126,17.0,17.0,0.5913,0.0
0.0,0.0,1.0,-1174.7942475125928,18.0,18.0,0.5439,0.0
0.0,0.0,1.0,-1765.929802590466,125.0,125.0,0.7304,0.0
0.0,0.0,0.0,-2005.4830085959704,116.0,116.0,-0.7065,0.0
0.0,1.0,0.0,-313.42739208397074,231.0,231.0,1.0047,0.0
0.0,0.0,1.0,-2794.057410846706,299.0,299.0,0.6612,0.0
0.0,0.0,1.0,-1089.0783405293,10.0,10.0,0.7701,0.0
0.0,0.0,1.0,-2640.7693370209013,266.0,266.0,0.7814,0.0
0.0,0.0,1.0,-1184.8350428799822,19.0,19.0,0.5895,0.0
0.0,0.0,1.0,-1177.1036334652372,19.0,19.0,0.5968,0.0
0.0,0.0,1.0,-1178.4908579052444,20.0,20.0,0.6767,0.0
0.0,0.0,1.0,-1107.1456993402614,12.0,12.0,0.7219,0.0
0.0,0.0,1.0,-1219.7728916872306,32.0,32.0,0.6873,0.0
0.0,0.0,1.0,-1167.4014930350413,18.0,18.0,0.6542,0.0
0.0,0.0,1.0,-2812.6933623941713,305.0,305.0,0.7021,0.0
0.0,0.0,1.0,-2392.598268683213,235.0,235.0,0.7358,0.0
0.0,0.0,0.0,-2003.236439156004,339.0,339.0,0.5537,0.0
0.0,0.0,0.0,-2004.5783444519475,341.0,341.0,0.7201,0.0
0.0,0.0,1.0,-1253.0874811571423,26.0,26.0,0.5503,0.0
0.0,0.0,1.0,-1198.406917946907,20.0,20.0,0.6352,0.0
0.0,0.0,1.0,-1177.560594555124,19.0,19.0,0.6113,0.0
0.0,0.0,1.0,-1948.9811218887464,149.0,149.0,0.7826,0.0
0.0,0.0,0.0,-2003.9618292224773,327.0,327.0,0.6481,0.0
0.0,0.0,1.0,-1561.9387473091588,91.0,91.0,0.9125,0.0
0.0,0.0,1.0,-1165.2383502159078,23.0,23.0,0.8156,0.0
0.0,0.0,1.0,-1071.114869088992,8.0,8.0,0.696,0.0
0.0,0.0,1.0,-1907.1188128180884,146.0,146.0,0.7742,0.0
0.0,0.0,1.0,-1223.2867994173891,25.0,25.0,0.6359,0.0
0.0,0.0,0.0,-2006.3035648174884,330.0,330.0,0.5948,0.0
0.0,0.0,1.0,-2577.010761149286,267.0,267.0,0.728,0.0
0.0,0.0,1.0,-1141.9692153472258,15.0,15.0,0.6735,0.0
0.0,0.0,1.0,-2085.3146692223927,177.0,177.0,0.8103,0.0
0.0,0.0,0.0,-2000.5358057127723,334.0,334.0,0.6615,0.0
0.0,0.0,1.0,-2139.417757093911,187.0,187.0,0.7576,0.0
0.0,0.0,1.0,-1269.1303059200316,27.0,27.0,0.554,0.0
0.0,0.0,1.0,-1142.979649319485,17.0,17.0,0.6376,0.0
0.0,0.0,1.0,-1405.1067512563898,39.0,39.0,0.4176,0.0
0.0,0.0,0.0,-2002.0840726575302,345.0,345.0,0.7373,0.0
0.0,0.0,1.0,-2202.616576835987,197.0,197.0,0.8296,0.0
0.0,0.0,1.0,-1124.9855861361152,13.0,13.0,0.7572,0.0
0.0,0.0,0.0,-2000.8897651026148,333.0,333.0,0.8849,0.0
0.0,0.0,1.0,-1322.4532561761603,54.0,54.0,0.7919,0.0
0.0,0.0,1.0,-1234.4990696758305,23.0,23.0,0.5185,0.0
0.0,0.0,1.0,-2376.309192657201,235.0,235.0,0.652,0.0
0.0,0.0,1.0,-1168.648795361882,20.0,20.0,0.6317,0.0
0.0,0.0,1.0,-1579.3490689775028,88.0,88.0,0.7518,0.0
0.0,0.0,1.0,-1910.8806966705765,154.0,154.0,0.6555,0.0
0.0,0.0,0.0,-2002.5320997159254,332.0,332.0,0.7155,0.0
0.0,0.0,1.0,-2887.712001506235,326.0,326.0,0.7142,0.0
0.0,0.0,1.0,-1368.6975759379507,55.0,55.0,0.7385,0.0
0.0,0.0,1.0,-2461.6706376752913,230.0,230.0,0.8022,0.0
0.0,0.0,1.0,-1668.269590754225,97.0,97.0,0.7213,0.0
0.0,0.0,1.0,-1694.1866815350086,102.0,102.0,0.6491,0.0
0.0,0.0,1.0,-1712.6160173147603,108.0,108.0,0.8051,0.0
0.0,0.0,1.0,-2013.7442417594957,167.0,167.0,0.7573,0.0
0.0,0.0,1.0,-1105.4508553910564,11.0,11.0,0.6986,0.0
0.0,0.0,1.0,-2223.030799145125,199.0,199.0,0.7761,0.0
0.0,0.0,1.0,-1298.543874234498,32.0,32.0,0.6009,0.0
0.0,0.0,1.0,-1375.9128004286638,59.0,59.0,0.7686,0.0
0.0,0.0,1.0,-1999.884726828846,164.0,164.0,0.7449,0.0
0.0,0.0,0.0,-2002.336804078884,342.0,342.0,0.7238,0.0
0.0,0.0,0.0,-2004.7819957343038,338.0,338.0,0.6159,0.0
0.0,0.0,1.0,-1927.3453451111047,139.0,139.0,0.6791,0.0
0.0,0.0,1.0,-1361.865338667736,53.0,53.0,0.7645,0.0
0.0,0.0,1.0,-1219.1052358315033,27.0,27.0,0.6787,0.0
0.0,0.0,1.0,-1511.89456975225,79.0,79.0,0.6757,0.0
0.0,0.0,1.0,-1209.235304069228,27.0,27.0,0.675,0.0
0.0,0.0,1.0,-1749.7060420746575,120.0,120.0,0.8114,0.0
0.0,0.0,1.0,-1088.2993271248545,10.0,10.0,0.7423,0.0
0.0,0.0,1.0,-1138.8697637210876,15.0,15.0,0.7435,0.0
0.0,0.0,0.0,-2004.00041688921,336.0,336.0,0.6446,0.0
0.0,0.0,0.0,-2002.2799167921758,327.0,327.0,0.6675,0.0
0.0,0.0,1.0,-1194.4210933586965,28.0,28.0,0.7671,0.0
0.0,0.0,1.0,-1085.858911287726,10.0,10.0,0.6398,0.0
0.0,0.0,1.0,-1243.7465566449505,23.0,23.0,0.4348,0.0
0.0,0.0,1.0,-2194.4038491390984,205.0,205.0,0.7349,0.0
0.0,0.0,1.0,-1155.6645157407565,17.0,17.0,0.5801,0.0
0.0,0.0,1.0,-2187.048177964899,197.0,197.0,0.7641,0.0
0.0,0.0,1.0,-2839.12935931379,309.0,309.0,0.6634,0.0
0.0,0.0,1.0,-1895.391211182418,147.0,147.0,0.8373,0.0
0.0,0.0,1.0,-2913.053484759985,303.0,303.0,0.6657,0.0
0.0,0.0,0.0,-2004.5411713499252,325.0,325.0,0.7167,0.0
0.0,0.0,1.0,-2254.0090323636714,200.0,200.0,0.7194,0.0
0.0,0.0,1.0,-2409.5119476162836,235.0,235.0,0.7999,0.0
0.0,0.0,1.0,-1256.9527892369558,29.0,29.0,0.7512,0.0
0.0,0.0,1.0,-1105.9393125989864,12.0,12.0,0.6531,0.0
0.0,0.0,1.0,-1268.0331890293987,25.0,25.0,0.598,0.0
0.0,0.0,1.0,-1115.5408435832649,14.0,14.0,0.7447,0.0
0.0,0.0,0.0,-2003.4535964604086,329.0,329.0,0.598,0.0
0.0,0.0,1.0,-1143.6398537705966,14.0,14.0,0.6032,0.0
0.0,1.0,0.0,83.69940551998491,156.0,156.0,1.049,0.0
0.0,0.0,1.0,-1433.9187590752015,64.0,64.0,0.573,0.0
0.0,0.0,1.0,-1298.2851799155694,38.0,38.0,0.6756,0.0
0.0,0.0,1.0,-1351.9534403700168,48.0,48.0,0.8214,0.0
0.0,0.0,1.0,-1990.2191407552687,166.0,166.0,0.6956,0.0
0.0,0.0,1.0,-1093.8374389153644,10.0,10.0,0.6556,0.0
0.0,0.0,1.0,-1138.063136328281,14.0,14.0,0.6543,0.0
0.0,0.0,1.0,-1083.4268388869048,9.0,9.0,0.6734,0.0
0.0,0.0,1.0,-2779.961153674207,300.0,300.0,0.7582,0.0
0.0,0.0,1.0,-1200.4301198411454,23.0,23.0,0.664,0.0
0.0,0.0,1.0,-2699.307992140765,278.0,278.0,0.7223,0.0
0.0,0.0,0.0,-2002.9679471519726,327.0,327.0,0.6641,0.0
0.0,0.0,1.0,-1512.5624528940884,78.0,78.0,0.783,0.0
0.0,0.0,1.0,-1176.2105273511445,20.0,20.0,0.7454,0.0
0.0,0.0,1.0,-1112.2737180749477,14.0,14.0,0.7236,0.0
0.0,0.0,1.0,-1201.0437030089456,22.0,22.0,0.6255,0.0
0.0,0.0,0.0,-2003.1997240665871,337.0,337.0,0.6538,0.0
0.0,0.0,1.0,-1114.2578064214802,13.0,13.0,0.6407,0.0
